date,origin_district,origin_municplty,item,Cesium_134_Plus_Cesium_137C
2014-05-11,Kempoku,Nihommatsu city,Wild boar,320
2014-05-15,Kempoku,Nihommatsu city,Wild boar,140
2014-05-18,Aizu,Yama county Bandai town,Black bear,230
2014-05-19,Aizu,Onuma county Aizumisato town,Black bear,42
2014-05-21,Aizu,Onuma county Aizumisato town,Black bear,28
2014-05-25,Aizu,Yama county Inawashiro town,Black bear,22
2014-05-28,Aizu,Yama county Inawashiro town,Black bear,190
2014-05-29,Kenchu,Koriyama city,Black bear,170
2014-05-30,Kenchu,Koriyama city,Wild boar,150
2014-05-30,Minamiaizu,Minamiaizu county Minamiaizu town,Black bear,47
2014-05-31,Kempoku,Motomiya city,Wild boar,130
2014-05-31,Kempoku,Motomiya city,Wild boar,340
2014-06-02,Kempoku,Motomiya city,Wild boar,130
2014-06-04,Aizu,Yama county Bandai town,Wild boar,110
2014-06-05,Kenchu,Koriyama city,Black bear,79
2014-06-07,Kenchu,Sukagawa city,Wild boar,130
2014-06-08,Aizu,Yama county Nishiaizu town,Black bear,35
2014-06-08,Minamiaizu,Minamiaizu county Hinoemata village,Japanese sika deer,81
2014-06-09,Kempoku,Nihommatsu city,Wild boar,240
2014-06-09,Kempoku,Motomiya city,Wild boar,270
2014-06-10,Kenchu,Koriyama city,Black bear,92
2014-06-12,Aizu,Yama county Inawashiro town,Black bear,58
2014-06-14,Aizu,Yama county Inawashiro town,Wild boar,160
2014-06-15,Kempoku,Nihommatsu city,Wild boar,140
2014-06-19,Kempoku,Nihommatsu city,Wild boar,200
2014-06-19,Kenchu,Tamura city,Wild boar,54
2014-06-23,Kenchu,Tamura county Miharu town,Wild boar,660
2014-06-25,Kempoku,Nihommatsu city,Wild boar,89
2014-06-25,Aizu,Yama county Inawashiro town,Black bear,110
2014-06-26,Kempoku,Nihommatsu city,Wild boar,71
2014-06-27,Minamiaizu,Minamiaizu county Minamiaizu town,Black bear,38
2014-06-27,Minamiaizu,Minamiaizu county Hinoemata village,Japanese sika deer,17
2014-06-27,Kempoku,Date county Kawamata town,Wild boar,840
2014-06-28,Kempoku,Nihommatsu city,Wild boar,220
2014-06-30,Kenchu,Sukagawa city,Wild boar,54
2014-07-01,Kempoku,Nihommatsu city,Wild boar,110
2014-07-03,Kempoku,Nihommatsu city,Wild boar,110
2014-07-04,Kempoku,Nihommatsu city,Wild boar,430
2014-07-04,Kempoku,Date county Kawamata town,Wild boar,280
2014-07-05,Minamiaizu,Minamiaizu county Hinoemata village,Japanese sika deer,48
2014-07-06,Kenchu,Koriyama city,Black bear,92
2014-07-06,Kempoku,Date county Kawamata town,Wild boar,600
2014-07-07,Soso,Minamisoma city,Wild boar,480
2014-07-08,Kempoku,Nihommatsu city,Black bear,330
2014-07-10,Kenchu,Sukagawa city,Black bear,140
2014-07-13,Kenchu,Koriyama city,Wild boar,33
2014-07-14,Kempoku,Nihommatsu city,Wild boar,190
2014-07-15,Soso,Futaba county Katsurao village,Wild boar,290
2014-07-15,Kempoku,Date county Kawamata town,Wild boar,590
2014-07-17,Aizu,Yama county Nishiaizu town,Black bear,21
2014-07-19,Kenchu,Koriyama city,Black bear,83
2014-07-20,Aizu,Onuma county Aizumisato town,Black bear,17
2014-07-22,Aizu,Onuma county Aizumisato town,Black bear,60
2014-07-22,Aizu,Yama county Inawashiro town,Black bear,67
2014-07-23,Kempoku,Motomiya city,Wild boar,110
2014-07-23,Aizu,Yama county Nishiaizu town,Black bear,14
2014-07-23,Kenchu,Sukagawa city,Black bear,240
2014-07-23,Kempoku,Nihommatsu city,Black bear,74
2014-07-24,Kenchu,Koriyama city,Wild boar,34
2014-07-24,Aizu,Onuma county Aizumisato town,Black bear,19
