date,origin_municplty,food_categ,item,Iodine_131,Cesium_134,Cesium_137
2011-05-09,Nishishirakawa county Izumizaki village,Vegetables,Spinach,9.2,28,31
2011-05-09,Iwaki city,Seafood,Whitebait (Japanese anchovy),12,280,280
2011-05-09,Iwaki city,Seafood,Whitebait (Japanese anchovy),19,410,440
2011-05-10,Yama county Kitashiobara village,Seafood,Japanese smelt,24,410,460
2011-05-10,Soma county Shinchi town,Vegetables,Spinach,20,14,9.5
2011-05-10,Minamisoma city,Vegetables,Spinach,110,42,45
2011-05-11,Iwaki city,Vegetables,Spinach,16,13,10
2011-05-12,Futaba county Kawauchi village,Mountain herbs/Mushrooms,Raw wood shiitake,19,82,85
2011-05-12,Soma city,Mountain herbs/Mushrooms,Raw wood shiitake,25,1200,1300
2011-05-16,Iwaki city,Seafood,Whitebait (Japanese anchovy),12,150,180
2011-05-16,Iwaki city,Seafood,Sea Mussel,820,310,340
2011-05-16,Iwaki city,Seafood,Sea Mussel,160,96,96
2011-05-16,Iwaki city,Seafood,"Seaweed, Wakame",380,590,610
2011-05-16,Iwaki city,Seafood,"Seaweed, Wakame",140,140,140
2011-05-17,Yama county Kitashiobara village,Seafood,Japanese smelt,9.8,380,400
2011-05-17,Soma county Shinchi town,Vegetables,Spinach,11,17,10
2011-05-17,Minamisoma city,Vegetables,Spinach,60,46,52
2011-05-21,Iwaki city,Seafood,Sweetfish,18,300,320
2011-05-21,Iwaki city,Seafood,Arame,1100,470,500
2011-05-21,Iwaki city,Seafood,Hijiki,2200,510,590
2011-05-22,Iwaki city,Seafood,Sweetfish,8.4,67,74
2011-05-23,Minamisoma city,Vegetables,Spinach,46,46,35
2011-05-25,Minamisoma city,Vegetables,Purple perilla,190,24,27
2011-05-28,Iwaki city,Seafood,Sweetfish,13,130,140
2011-05-28,Iwaki city,Seafood,Northern sea urchin,54,640,640
2011-05-30,Minamisoma city,Vegetables,Spinach,45,25,25
2011-05-31,Iwaki city,Vegetables,Spinach,27,17,26
2011-06-04,Iwaki city,Seafood,Sweetfish,5.2,91,98
2011-06-06,Iwaki city,Seafood,Arame,640,320,340
2011-06-06,Iwaki city,Seafood,Arame,930,460,480
2011-06-06,Iwaki city,Seafood,Abalone,21,220,260
2011-06-06,Iwaki city,Seafood,Northern sea urchin,16,310,370
2011-06-06,Iwaki city,Seafood,Sea Mussel,15,110,100
2011-06-13,Iwaki city,Seafood,Arame,860,210,210
2011-06-13,Iwaki city,Seafood,Abalone,7.7,120,140
2011-06-13,Iwaki city,Seafood,Sand crab,8.7,170,190
2011-07-04,Iwaki city,Seafood,Arame,47,440,450
2011-07-11,Iwaki city,Seafood,Arame,40,260,290
2011-07-15,Iwaki city,Seafood,Arame,20,170,190
