﻿Sampling date,Announcement date,Sampling point,Sampling coordinate North latitude (Decimal),Sampling coordinate East longitude (Decimal),Distance from TEPCO Fukushima Dai-ichi NPP (km),Type of sample,131I Radioactivity concentration (Bq/kg),131I Detection limit (Bq/kg),134Cs Radioactivity concentration (Bq/kg),134Cs Detection limit (Bq/kg),137Cs Radioactivity concentration (Bq/kg),137Cs Detection limit (Bq/kg),134Cs+137Cs Radioactivity concentration (Bq/kg),134Cs+137Cs Detection limit (Bq/kg),134Cs+137CsExceeded reference value ,89SrRadioactivity concenteration(Bq/kg),89SrDetectedLower Limit (Bq/kg),90SrRadioactivity concenteration(Bq/kg),90SrDetectedLower Limit (Bq/kg),238PuRadioactivity concenteration(Bq/kg),238PuDetectedLower Limit (Bq/kg),239Pu+240PuRadioactivity concenteration(Bq/kg),239Pu+240PuDetectedLower Limit (Bq/kg),241Am Radioactivity concentration (Bq/kg),241Am DetectedLower Limit (Bq/Kg),Remarks
2012-08-06,2013-08-01,,36.500000,141.583333,113.6,Coryphaenoides acrolepis,ND,,2.3E-01,,4.4E-01,,,,,,,ND,2.8E-02,,,,,,,"Portion measured - bony parts for Sr, and Cs"
2012-08-20,2013-08-01,,36.183333,140.850000,138.6,Japanese sardine,ND,,1.8E-01,,3.9E-01,,,,,,,ND,1.3E-02,,,,,,,"Portion measured - whole body for Sr, and Cs"
2012-08-29,2013-08-01,,35.950000,140.933333,163.9,Blue mackerel,ND,,1.8E-01,,4.5E-01,,,,,,,ND,1.3E-02,,,,,,,"Portion measured - whole body for Sr, and Cs"
2012-08-29,2013-08-01,,35.766666,140.983333,184.1,Japanese jack mackerel,ND,,4.5E-01,,9.4E-01,,,,,,,ND,1.8E-02,,,,,,,"Portion measured - whole body for Sr, and Cs"
2012-09-02,2013-08-01,,33.333333,134.200000,768.0,Round herring,ND,,ND,,1.0E-01,,,,,,,ND,1.8E-02,,,,,,,"Portion measured - whole body for Sr, and Cs"
2012-09-02,2013-08-01,,33.333333,134.200000,768.0,Anchovy,ND,,ND,,ND,,,,,,,ND,1.8E-02,,,,,,,"Portion measured - whole body for Sr, and Cs"
2012-09-03,2013-08-01,,33.333333,134.200000,768.0,Mahi-mahi,ND,,1.4E-01,,2.9E-01,,,,,,,ND,2.9E-02,,,,,,,"Portion measured - bony parts for Sr, and Cs"
2012-10-16,2013-08-01,,36.266666,140.916666,128.8,Blue mackerel,ND,,1.4E-01,,3.4E-01,,,,,,,ND,1.7E-02,,,,,,,"Portion measured - whole body for Sr, and Cs"
2012-10-17,2013-08-01,,35.350000,141.183333,230.8,KinPacific barrelfish,ND,,4.9E-01,,1.1E+00,,,,,,,ND,2.3E-02,,,,,,,"Portion measured - bony parts for Sr, and Cs"
2012-10-28,2013-10-25,,44.883333,144.433333,877.0,Alaska pollock,ND,,2.9E-02,,1.1E-01,,,,,ND,3.9E-02,ND,1.6E-02,,,,,,,"Portion measured - whole body without internal organs for Sr, and Cs"
2012-11-01,2013-08-01,,42.000000,143.116666,539.4,Salmon,ND,,ND,,1.3E-01,,,,,,,ND,1.8E-02,,,,,,,"Portion measured - whole body for Sr, and Cs"
2012-11-05,2013-08-01,Nemuro Channel,,,,Flounder,ND,,ND,,1.2E-01,,,,,,,ND,2.2E-02,,,,,,,"Portion measured - bony parts for Sr, and Cs"
2012-11-05,2013-08-01,Nemuro Channel,,,,Black rockfish,ND,,7.9E-01,,1.6E+00,,,,,,,ND,3.2E-02,,,,,,,"Portion measured - bony parts for Sr, and Cs"
2012-11-08,2013-08-01,,42.416666,140.850000,555.6,Scallop ,ND,,ND,,4.8E-02,,,,,,,ND,1.3E-02,,,,,,,"Portion measured - molluscous part for Sr, and Cs"
2012-11-09,2013-08-01,Nemuro Channel,,,,Flog sculpin,ND,,4.0E-01,,7.1E-01,,,,,,,ND,2.9E-02,,,,,,,"Portion measured - bony parts for Sr, and Cs"
2012-11-15,2013-08-01,,24.500000,124.500000,2126.7,Flame snapper,ND,,ND,,9.6E-02,,,,,,,ND,2.3E-02,,,,,,,"Portion measured - bony parts for Sr, and Cs"
2012-12-12,2013-08-01,,35.566666,141.133333,206.5,Chub mackerel,ND,,1.2E-01,,2.9E-01,,,,,,,ND,1.7E-02,,,,,,,"Portion measured - whole body for Sr, and Cs"
2013-01-22,2013-10-25,,42.750000,144.500000,661.7,Alaska pollock,ND,,3.0E-02,,1.3E-01,,,,,ND,8.1E-02,ND,1.4E-02,,,,,,,"Portion measured - whole body without internal organs for Sr, and Cs"
2013-02-15,2013-10-25,,49.433333,155.983333,1793.9,Alaska pollock,ND,,2.2E-02,,1.1E-01,,,,,ND,1.1E-01,ND,1.8E-02,,,,,,,"Portion measured - whole body without internal organs for Sr, and Cs"
2013-07-29,2014-05-23,,37.266666,141.133333,19.4,Olive flounder,ND,,9.7E-01,,2.6E+00,,,,,ND,8.0E-02,1.6E-02,,,,,,,,"Portion measured - whole body for Sr, and Cs"
2013-07-29,2014-05-23,,37.316666,141.216666,20.0,Olive flounder,ND,,2.2E+00,,5.0E+00,,,,,ND,9.0E-02,1.8E-02,,,,,,,,"Portion measured - whole body for Sr, and Cs"
2013-09-11,2014-05-23,,37.300000,141.050000,13.6,Rockfish,ND,,2.3E+01,,5.1E+01,,,,,ND,1.1E+00,2.1E-01,,,,,,,,"Portion measured - whole body without internal organs for Sr, and Cs"
2013-09-19,2013-11-26,,44.050000,145.250000,817.9,Alaska pollock,ND,,3.2E-02,,1.6E-01,,,,,ND,5.9E-02,ND,1.4E-02,,,,,,,"Portion measured - whole body for Sr, and Cs"
2013-09-19,2013-11-26,,44.050000,145.250000,817.9,Alaska pollock,ND,,5.8E-02,,1.9E-01,,,,,ND,1.2E-01,ND,1.5E-02,,,,,,,"Portion measured - whole body for Sr, and Cs"
2013-09-19,2014-01-23,,44.050000,145.250000,817.9,Alaska pollock,ND,,3.2E-02,,1.6E-01,,,,,ND,9.3E-02,ND,1.6E-02,ND,9.3E-04,ND,9.3E-04,,,"Portion measured - whole body for Sr, Cs, and Pu"
2013-09-19,2014-01-23,,44.050000,145.250000,817.9,Alaska pollock,ND,,5.8E-02,,1.9E-01,,,,,ND,9.2E-02,ND,1.5E-02,ND,9.2E-04,ND,9.2E-04,,,"Portion measured - whole body for Sr, Cs, and Pu"
2013-09-30,2014-03-13,,37.333333,141.166666,15.4,Redwing searobin,ND,,1.5E+00,,3.2E+00,,,,,ND,4.5E-01,ND,1.5E-02,,,,,,,"Portion measured - whole body for Sr, and Cs"
2013-09-30,2014-03-13,,37.333333,141.166666,15.4,Olive flounder,ND,,1.9E+00,,6.1E+00,,,,,ND,3.4E-01,2.6E-02,,,,,,,,"Portion measured - whole body for Sr, and Cs"
2013-10-02,2013-11-26,,42.116666,141.283333,522.5,Alaska pollock,ND,,3.1E-02,,9.4E-02,,,,,ND,9.4E-02,ND,1.6E-02,,,,,,,"Portion measured - whole body for Sr, and Cs"
2013-10-02,2013-11-26,,42.116666,141.283333,522.5,Alaska pollock,ND,,3.6E-02,,1.6E-01,,,,,ND,3.4E-02,ND,1.3E-02,,,,,,,"Portion measured - whole body for Sr, and Cs"
2013-10-02,2014-01-23,,42.116666,141.283333,522.5,Alaska pollock,ND,,3.1E-02,,9.4E-02,,,,,ND,8.7E-02,ND,1.5E-02,ND,8.7E-04,ND,8.7E-04,,,"Portion measured - whole body for Sr, Cs, and Pu"
