Sampling starting date,Sampling starting time,Sampling ending date,Sampling ending time,Measurement date,Measurement time,Correction base date,Prefecture,City,Sampling coordinate North latitude,Sampling coordinate East longitude,Sampling coordinate North latitude (Decimal),Sampling coordinate East longitude (Decimal),Distance from TEPCO Fukushima Dai-ichi NPP (km),Air dose rate at a height of 1 m above the ground (µSv/h),131I Radioactivity concentration (Bq/m3),131I Detection limit (Bq/m3),134Cs Radioactivity concentration (Bq/m3),134Cs Detection limit (Bq/m3),137Cs Radioactivity concentration (Bq/m3),137Cs Detection limit (Bq/m3),132I Radioactivity concentration (Bq/m3),132I Detection limit (Bq/m3),132Te Radioactivity concentration (Bq/m3),132Te Detection limit (Bq/m3)
2013-04-13,08:36,2013-04-13,09:30,,,2013-04-13,Fukushima prefecture,Futaba county Okuma town,"37°24'36.0""","140°54'36.0""",37.410000,140.910000,11,1.9E+00,ND,Around 0.14,ND,Around 0.087,ND,Around 0.073,ND,Around 0.19,ND,Around 0.19
2013-04-13,12:55,2013-04-13,13:50,,,2013-04-13,Fukushima prefecture,Futaba county Okuma town,"37°23'24.0""","140°57'36.0""",37.390000,140.960000,7.5,2.1E+00,ND,Around 0.14,ND,Around 0.087,ND,Around 0.073,ND,Around 0.19,ND,Around 0.19
2013-04-13,14:18,2013-04-13,15:14,,,2013-04-13,Fukushima prefecture,Futaba county Naraha town,"37°18'00.0""","140°59'24.0""",37.300000,140.990000,14,1.0E+00,ND,Around 0.14,ND,Around 0.087,ND,Around 0.073,ND,Around 0.19,ND,Around 0.19
2013-04-23,13:40,2013-04-24,13:40,,,2013-04-23,Fukushima prefecture,Minamisoma city,,,,,Around 16,1.0E-01,ND,,5.0E-04,,9.6E-04,,ND,,ND,
2013-04-23,14:40,2013-04-24,14:40,,,2013-04-23,Fukushima prefecture,Futaba county Namie town,,,,,Around 9,2.0E-01,ND,,3.7E-04,,6.9E-04,,ND,,ND,
2013-04-23,12:50,2013-04-23,21:50,,,2013-04-23,Fukushima prefecture,Futaba county Futaba town,,,,,Around 4,2.2E+00,ND,,1.1E-03,,2.0E-03,,ND,,ND,
2013-04-23,15:40,2013-04-24,15:40,,,2013-04-23,Fukushima prefecture,Futaba county Okuma town,,,,,Around 5,2.0E+00,ND,,4.2E-04,,1.0E-03,,ND,,ND,
2013-04-23,11:15,2013-04-24,11:15,,,2013-04-23,Fukushima prefecture,Futaba county Tomioka town,,,,,Around 9,3.1E+00,ND,,1.3E-03,,2.2E-03,,ND,,ND,
2013-04-23,12:00,2013-04-24,12:00,,,2013-04-23,Fukushima prefecture,Futaba county Naraha town,,,,,Around 16,3.0E-01,ND,,ND,,2.7E-04,,ND,,ND,
2013-05-08,13:05,2013-05-09,13:05,,,2013-05-08,Fukushima prefecture,Minamisoma city,,,,,Around 16,1.0E-01,ND,,1.1E-03,,2.4E-03,,ND,,ND,
2013-05-08,13:45,2013-05-09,13:45,,,2013-05-08,Fukushima prefecture,Futaba county Namie town,,,,,Around 9,2.0E-01,ND,,ND,,ND,,ND,,ND,
2013-05-08,14:20,2013-05-09,14:20,,,2013-05-08,Fukushima prefecture,Futaba county Okuma town,,,,,Around 5,2.1E+00,ND,,4.0E-04,,6.9E-04,,ND,,ND,
