Sampling starting date,Sampling starting time,Sampling ending date,Sampling ending time,Measurement date,Measurement time,Correction base date,Prefecture,City,Sampling coordinate North latitude,Sampling coordinate East longitude,Sampling coordinate North latitude (Decimal),Sampling coordinate East longitude (Decimal),Distance from TEPCO Fukushima Dai-ichi NPP (km),Air dose rate at a height of 1 m above the ground (µSv/h),131I Radioactivity concentration (Bq/m3),131I Detection limit (Bq/m3),134Cs Radioactivity concentration (Bq/m3),134Cs Detection limit (Bq/m3),137Cs Radioactivity concentration (Bq/m3),137Cs Detection limit (Bq/m3),132I Radioactivity concentration (Bq/m3),132I Detection limit (Bq/m3),132Te Radioactivity concentration (Bq/m3),132Te Detection limit (Bq/m3)
2013-12-04,14:47,2013-12-05,14:47,,,2013-12-04,Fukushima prefecture,Futaba county Naraha town,,,,,Around 16,3.0E-01,ND,,ND,,ND,,ND,,ND,
2013-12-18,13:08,2013-12-19,13:08,,,2013-12-18,Fukushima prefecture,Minamisoma city,,,,,Around 16,1.0E-01,ND,,ND,,ND,,ND,,ND,
2013-12-18,13:33,2013-12-19,13:33,,,2013-12-18,Fukushima prefecture,Futaba county Namie town,,,,,Around 9,3.0E-01,ND,,ND,,ND,,ND,,ND,
2013-12-18,14:02,2013-12-19,14:02,,,2013-12-18,Fukushima prefecture,Futaba county Okuma town,,,,,Around 5,1.6E+00,ND,,ND,,ND,,ND,,ND,
2013-12-18,14:30,2013-12-19,14:30,,,2013-12-18,Fukushima prefecture,Futaba county Tomioka town,,,,,Around 9,1.4E+00,ND,,2.9E-04,,6.5E-04,,ND,,ND,
2013-12-18,14:48,2013-12-19,14:48,,,2013-12-18,Fukushima prefecture,Futaba county Naraha town,,,,,Around 16,3.0E-01,ND,,ND,,2.9E-04,,ND,,ND,
2014-01-03,13:58,2014-01-04,13:58,,,2014-01-03,Fukushima prefecture,Minamisoma city,,,,,Around 16,1.0E-01,ND,,ND,,ND,,ND,,ND,
2014-01-03,14:27,2014-01-04,14:27,,,2014-01-03,Fukushima prefecture,Futaba county Namie town,,,,,Around 9,2.0E-01,ND,,ND,,2.4E-04,,ND,,ND,
2014-01-03,09:51,2014-01-03,15:51,,,2014-01-03,Fukushima prefecture,Futaba county Futaba town,,,,,Around 4,1.5E+00,ND,,ND,,1.4E-03,,ND,,ND,
2014-01-03,11:19,2014-01-04,11:19,,,2014-01-03,Fukushima prefecture,Futaba county Okuma town,,,,,Around 5,1.8E+00,ND,,ND,,ND,,ND,,ND,
2014-01-03,10:52,2014-01-04,10:52,,,2014-01-03,Fukushima prefecture,Futaba county Tomioka town,,,,,Around 9,1.3E+00,ND,,ND,,2.4E-04,,ND,,ND,
2014-01-03,10:31,2014-01-04,10:31,,,2014-01-03,Fukushima prefecture,Futaba county Naraha town,,,,,Around 16,2.0E-01,ND,,ND,,ND,,ND,,ND,
2014-01-15,13:05,2014-01-16,13:05,,,2014-01-15,Fukushima prefecture,Minamisoma city,,,,,Around 16,1.0E-01,ND,,ND,,2.5E-04,,ND,,ND,
2014-01-15,13:28,2014-01-16,13:28,,,2014-01-15,Fukushima prefecture,Futaba county Namie town,,,,,Around 9,2.0E-01,ND,,ND,,ND,,ND,,ND,
2014-01-15,13:57,2014-01-16,13:57,,,2014-01-15,Fukushima prefecture,Futaba county Okuma town,,,,,Around 5,1.4E+00,ND,,6.7E-04,,1.5E-03,,ND,,ND,
2014-01-15,14:29,2014-01-16,14:29,,,2014-01-15,Fukushima prefecture,Futaba county Tomioka town,,,,,Around 9,1.7E+00,ND,,2.1E-03,,4.5E-03,,ND,,ND,
2014-01-15,14:49,2014-01-16,14:49,,,2014-01-15,Fukushima prefecture,Futaba county Naraha town,,,,,Around 16,2.0E-01,ND,,ND,,ND,,ND,,ND,
